issue_date,target_time,lead_hours,issue_timestamp,weather_lead_hours,weather_run_time,turbine,ws100_forecast,temp_forecast,p10,p50,p90,confidence,note
2026-02-04,2026-02-05T00:00:00+05:00,24,2026-02-04T23:59:00+05:00,48,2026-02-03T00:00:00+05:00,1,7.75,-0.9,0.23,0.6303,0.9797,low,
2026-02-04,2026-02-05T00:00:00+05:00,24,2026-02-04T23:59:00+05:00,48,2026-02-03T00:00:00+05:00,2,7.75,-0.9,0.2195,0.6302,0.9734,low,
2026-02-04,2026-02-05T01:00:00+05:00,25,2026-02-04T23:59:00+05:00,48,2026-02-03T01:00:00+05:00,1,8.05,-0.9,0.2556,0.7812,0.9834,ok,
2026-02-04,2026-02-05T01:00:00+05:00,25,2026-02-04T23:59:00+05:00,48,2026-02-03T01:00:00+05:00,2,8.05,-0.9,0.2583,0.7811,0.9759,ok,
2026-02-04,2026-02-05T02:00:00+05:00,26,2026-02-04T23:59:00+05:00,48,2026-02-03T02:00:00+05:00,1,8.57,-0.4,0.3112,0.8646,0.9843,ok,
2026-02-04,2026-02-05T02:00:00+05:00,26,2026-02-04T23:59:00+05:00,48,2026-02-03T02:00:00+05:00,2,8.57,-0.4,0.3072,0.8629,0.9741,ok,
2026-02-04,2026-02-05T03:00:00+05:00,27,2026-02-04T23:59:00+05:00,48,2026-02-03T03:00:00+05:00,1,8.78,-0.4,0.4239,0.9125,0.9872,ok,
2026-02-04,2026-02-05T03:00:00+05:00,27,2026-02-04T23:59:00+05:00,48,2026-02-03T03:00:00+05:00,2,8.78,-0.4,0.3762,0.9073,0.9806,ok,
2026-02-04,2026-02-05T04:00:00+05:00,28,2026-02-04T23:59:00+05:00,48,2026-02-03T04:00:00+05:00,1,9.66,-0.4,0.5599,0.9446,0.9831,ok,
2026-02-04,2026-02-05T04:00:00+05:00,28,2026-02-04T23:59:00+05:00,48,2026-02-03T04:00:00+05:00,2,9.66,-0.4,0.5313,0.9392,0.977,ok,
2026-02-04,2026-02-05T05:00:00+05:00,29,2026-02-04T23:59:00+05:00,48,2026-02-03T05:00:00+05:00,1,10.41,0.5,0.7917,0.9688,0.988,ok,
2026-02-04,2026-02-05T05:00:00+05:00,29,2026-02-04T23:59:00+05:00,48,2026-02-03T05:00:00+05:00,2,10.41,0.5,0.6958,0.9612,0.9853,ok,
2026-02-04,2026-02-05T06:00:00+05:00,30,2026-02-04T23:59:00+05:00,48,2026-02-03T06:00:00+05:00,1,11.19,1.0,0.848,0.9735,0.99,ok,
2026-02-04,2026-02-05T06:00:00+05:00,30,2026-02-04T23:59:00+05:00,48,2026-02-03T06:00:00+05:00,2,11.19,1.0,0.83,0.9569,0.9875,ok,
2026-02-04,2026-02-05T07:00:00+05:00,31,2026-02-04T23:59:00+05:00,48,2026-02-03T07:00:00+05:00,1,11.33,0.9,0.8574,0.9736,0.99,ok,
2026-02-04,2026-02-05T07:00:00+05:00,31,2026-02-04T23:59:00+05:00,48,2026-02-03T07:00:00+05:00,2,11.33,0.9,0.8379,0.9577,0.9888,ok,
2026-02-04,2026-02-05T08:00:00+05:00,32,2026-02-04T23:59:00+05:00,48,2026-02-03T08:00:00+05:00,1,11.51,1.6,0.8905,0.9736,0.99,ok,
2026-02-04,2026-02-05T08:00:00+05:00,32,2026-02-04T23:59:00+05:00,48,2026-02-03T08:00:00+05:00,2,11.51,1.6,0.8224,0.9578,0.9886,ok,
2026-02-04,2026-02-05T09:00:00+05:00,33,2026-02-04T23:59:00+05:00,48,2026-02-03T09:00:00+05:00,1,10.58,2.8,0.9038,0.9763,0.99,ok,
2026-02-04,2026-02-05T09:00:00+05:00,33,2026-02-04T23:59:00+05:00,48,2026-02-03T09:00:00+05:00,2,10.58,2.8,0.8136,0.9603,0.9866,ok,
2026-02-04,2026-02-05T10:00:00+05:00,34,2026-02-04T23:59:00+05:00,48,2026-02-03T10:00:00+05:00,1,10.9,4.4,0.9112,0.9764,0.99,ok,
2026-02-04,2026-02-05T10:00:00+05:00,34,2026-02-04T23:59:00+05:00,48,2026-02-03T10:00:00+05:00,2,10.9,4.4,0.8187,0.9603,0.981,ok,
2026-02-04,2026-02-05T11:00:00+05:00,35,2026-02-04T23:59:00+05:00,48,2026-02-03T11:00:00+05:00,1,12.16,5.9,0.9681,0.986,0.99,ok,
2026-02-04,2026-02-05T11:00:00+05:00,35,2026-02-04T23:59:00+05:00,48,2026-02-03T11:00:00+05:00,2,12.16,5.9,0.8487,0.9667,0.9805,ok,
2026-02-04,2026-02-05T12:00:00+05:00,36,2026-02-04T23:59:00+05:00,48,2026-02-03T12:00:00+05:00,1,12.64,7.3,0.9643,0.9858,0.99,ok,
2026-02-04,2026-02-05T12:00:00+05:00,36,2026-02-04T23:59:00+05:00,48,2026-02-03T12:00:00+05:00,2,12.64,7.3,0.7938,0.9686,0.9784,ok,
2026-02-04,2026-02-05T13:00:00+05:00,37,2026-02-04T23:59:00+05:00,48,2026-02-03T13:00:00+05:00,1,11.75,7.7,0.8215,0.99,0.9902,ok,
2026-02-04,2026-02-05T13:00:00+05:00,37,2026-02-04T23:59:00+05:00,48,2026-02-03T13:00:00+05:00,2,11.75,7.7,0.7373,0.9771,0.9778,ok,
2026-02-04,2026-02-05T14:00:00+05:00,38,2026-02-04T23:59:00+05:00,48,2026-02-03T14:00:00+05:00,1,10.6,7.9,0.7407,0.9898,0.9934,ok,
