issue_date,target_time,lead_hours,turbine,ws100_forecast,temp_forecast,p10,p50,p90,confidence,note
2026-02-05,2026-02-06T00:00:00+05:00,24,1,6.18,-1.6,0.1814,0.5066,0.9484,low,
2026-02-05,2026-02-06T00:00:00+05:00,24,2,6.18,-1.6,0.1625,0.5061,0.9551,low,
2026-02-05,2026-02-06T01:00:00+05:00,25,1,5.49,-1.9,0.1177,0.3707,0.8373,low,
2026-02-05,2026-02-06T01:00:00+05:00,25,2,5.49,-1.9,0.1003,0.3702,0.8452,low,
2026-02-05,2026-02-06T02:00:00+05:00,26,1,5.12,-2.0,0.0952,0.3101,0.7267,low,
2026-02-05,2026-02-06T02:00:00+05:00,26,2,5.12,-2.0,0.0792,0.3087,0.7346,low,
2026-02-05,2026-02-06T03:00:00+05:00,27,1,4.73,-1.8,0.0586,0.3028,0.7098,low,
2026-02-05,2026-02-06T03:00:00+05:00,27,2,4.73,-1.8,0.0491,0.3021,0.7258,low,
2026-02-05,2026-02-06T04:00:00+05:00,28,1,3.01,-1.4,0.01,0.1162,0.269,ok,
2026-02-05,2026-02-06T04:00:00+05:00,28,2,3.01,-1.4,0.0087,0.1133,0.2721,ok,
2026-02-05,2026-02-06T05:00:00+05:00,29,1,2.92,-0.8,0.01,0.056,0.2466,ok,
2026-02-05,2026-02-06T05:00:00+05:00,29,2,2.92,-0.8,0.0087,0.0523,0.245,ok,
2026-02-05,2026-02-06T06:00:00+05:00,30,1,2.02,0.2,0.01,0.0713,0.1623,low,
2026-02-05,2026-02-06T06:00:00+05:00,30,2,2.02,0.2,0.0086,0.0704,0.1605,low,
2026-02-05,2026-02-06T07:00:00+05:00,31,1,6.09,1.3,0.0422,0.2958,0.8277,low,
2026-02-05,2026-02-06T07:00:00+05:00,31,2,6.09,1.3,0.0703,0.2956,0.8227,low,
2026-02-05,2026-02-06T08:00:00+05:00,32,1,7.29,1.6,0.0871,0.4696,0.9254,low,
2026-02-05,2026-02-06T08:00:00+05:00,32,2,7.29,1.6,0.1098,0.469,0.9261,low,
2026-02-05,2026-02-06T09:00:00+05:00,33,1,5.48,3.0,0.0136,0.2325,0.7159,low,
2026-02-05,2026-02-06T09:00:00+05:00,33,2,5.48,3.0,0.0136,0.2324,0.7168,low,
2026-02-05,2026-02-06T10:00:00+05:00,34,1,2.77,4.5,0.01,0.0464,0.1897,low,
2026-02-05,2026-02-06T10:00:00+05:00,34,2,2.77,4.5,0.0086,0.0448,0.1906,low,
2026-02-05,2026-02-06T11:00:00+05:00,35,1,5.33,5.4,0.083,0.3543,0.7572,low,
2026-02-05,2026-02-06T11:00:00+05:00,35,2,5.33,5.4,0.0632,0.3579,0.7592,low,
2026-02-05,2026-02-06T12:00:00+05:00,36,1,8.8,6.5,0.6318,0.9661,0.9871,ok,
2026-02-05,2026-02-06T12:00:00+05:00,36,2,8.8,6.5,0.7248,0.9646,0.9708,ok,
2026-02-05,2026-02-06T13:00:00+05:00,37,1,9.74,5.7,0.7574,0.9857,0.9904,ok,
2026-02-05,2026-02-06T13:00:00+05:00,37,2,9.74,5.7,0.7545,0.9711,0.9808,ok,
2026-02-05,2026-02-06T14:00:00+05:00,38,1,11.73,5.7,0.9698,0.9893,0.99,ok,
2026-02-05,2026-02-06T14:00:00+05:00,38,2,11.73,5.7,0.9433,0.9699,0.9721,ok,
2026-02-05,2026-02-06T15:00:00+05:00,39,1,12.85,5.4,0.9625,0.9892,0.99,ok,
2026-02-05,2026-02-06T15:00:00+05:00,39,2,12.85,5.4,0.936,0.9696,0.9716,ok,
2026-02-05,2026-02-06T16:00:00+05:00,40,1,13.73,4.5,0.9434,0.989,0.99,ok,
2026-02-05,2026-02-06T16:00:00+05:00,40,2,13.73,4.5,0.9274,0.9692,0.9729,ok,
2026-02-05,2026-02-06T17:00:00+05:00,41,1,14.87,4.1,0.9172,0.989,0.99,ok,
2026-02-05,2026-02-06T17:00:00+05:00,41,2,14.87,4.1,0.8995,0.9691,0.9729,ok,
2026-02-05,2026-02-06T18:00:00+05:00,42,1,16.0,2.7,0.9563,0.989,0.99,ok,
2026-02-05,2026-02-06T18:00:00+05:00,42,2,16.0,2.7,0.9286,0.9698,0.9752,ok,
2026-02-05,2026-02-06T19:00:00+05:00,43,1,14.47,1.3,0.9823,0.9894,0.99,ok,
2026-02-05,2026-02-06T19:00:00+05:00,43,2,14.47,1.3,0.9565,0.9701,0.9779,ok,
2026-02-05,2026-02-06T20:00:00+05:00,44,1,14.15,1.2,0.9815,0.99,0.9917,ok,
2026-02-05,2026-02-06T20:00:00+05:00,44,2,14.15,1.2,0.9565,0.9725,0.9785,ok,
2026-02-05,2026-02-06T21:00:00+05:00,45,1,13.49,1.0,0.9835,0.99,0.9919,ok,
2026-02-05,2026-02-06T21:00:00+05:00,45,2,13.49,1.0,0.964,0.9741,0.9802,ok,
2026-02-05,2026-02-06T22:00:00+05:00,46,1,11.46,0.8,0.8744,0.99,0.9982,ok,
2026-02-05,2026-02-06T22:00:00+05:00,46,2,11.46,0.8,0.8659,0.9785,0.9808,ok,
2026-02-05,2026-02-06T23:00:00+05:00,47,1,7.78,0.4,0.5101,0.8525,1.0,ok,
2026-02-05,2026-02-06T23:00:00+05:00,47,2,7.78,0.4,0.5034,0.8553,0.996,ok,
2026-02-05,2026-02-07T00:00:00+05:00,48,1,10.69,1.4,0.7739,0.9904,1.0,ok,
2026-02-05,2026-02-07T00:00:00+05:00,48,2,10.69,1.4,0.8265,0.9774,0.9877,ok,
2026-02-05,2026-02-07T01:00:00+05:00,49,1,10.34,1.3,0.6874,0.9913,0.9934,ok,
2026-02-05,2026-02-07T01:00:00+05:00,49,2,10.34,1.3,0.6814,0.9783,0.9787,ok,
2026-02-05,2026-02-07T02:00:00+05:00,50,1,9.46,1.1,0.5187,0.8774,0.9911,ok,
2026-02-05,2026-02-07T02:00:00+05:00,50,2,9.46,1.1,0.4752,0.8748,0.9789,ok,
2026-02-05,2026-02-07T03:00:00+05:00,51,1,8.13,0.7,0.4216,0.8134,0.9805,ok,
2026-02-05,2026-02-07T03:00:00+05:00,51,2,8.13,0.7,0.4139,0.8133,0.9724,ok,
2026-02-05,2026-02-07T04:00:00+05:00,52,1,7.49,-0.1,0.3353,0.7365,0.9721,low,
2026-02-05,2026-02-07T04:00:00+05:00,52,2,7.49,-0.1,0.3241,0.7348,0.9669,low,
2026-02-05,2026-02-07T05:00:00+05:00,53,1,5.41,-1.1,0.1193,0.3407,0.7782,low,
2026-02-05,2026-02-07T05:00:00+05:00,53,2,5.41,-1.1,0.1233,0.3394,0.777,low,
2026-02-05,2026-02-07T06:00:00+05:00,54,1,4.48,-1.0,0.0813,0.2776,0.5425,ok,
2026-02-05,2026-02-07T06:00:00+05:00,54,2,4.48,-1.0,0.0599,0.2764,0.5424,ok,
2026-02-05,2026-02-07T07:00:00+05:00,55,1,2.44,-1.5,0.01,0.0651,0.297,ok,
2026-02-05,2026-02-07T07:00:00+05:00,55,2,2.44,-1.5,0.0085,0.0635,0.2978,ok,
2026-02-05,2026-02-07T08:00:00+05:00,56,1,0.86,-0.4,0.01,0.0103,0.0971,ok,
2026-02-05,2026-02-07T08:00:00+05:00,56,2,0.86,-0.4,0.0083,0.0098,0.0986,ok,
2026-02-05,2026-02-07T09:00:00+05:00,57,1,1.97,0.6,0.01,0.0219,0.0531,ok,
2026-02-05,2026-02-07T09:00:00+05:00,57,2,1.97,0.6,0.0084,0.0213,0.0546,ok,
2026-02-05,2026-02-07T10:00:00+05:00,58,1,1.95,2.0,0.01,0.0123,0.0558,ok,
2026-02-05,2026-02-07T10:00:00+05:00,58,2,1.95,2.0,0.0083,0.0121,0.0563,ok,
2026-02-05,2026-02-07T11:00:00+05:00,59,1,3.48,1.8,0.01,0.046,0.1565,ok,
2026-02-05,2026-02-07T11:00:00+05:00,59,2,3.48,1.8,0.0036,0.0454,0.1577,ok,
2026-02-05,2026-02-07T12:00:00+05:00,60,1,4.51,2.6,0.0,0.0612,0.3931,ok,
2026-02-05,2026-02-07T12:00:00+05:00,60,2,4.51,2.6,0.0,0.0618,0.3942,ok,
2026-02-05,2026-02-07T13:00:00+05:00,61,1,5.15,3.0,0.0,0.1578,0.5561,ok,
2026-02-05,2026-02-07T13:00:00+05:00,61,2,5.15,3.0,0.0,0.1536,0.5576,ok,
2026-02-05,2026-02-07T14:00:00+05:00,62,1,5.02,2.8,0.0146,0.146,0.566,ok,
2026-02-05,2026-02-07T14:00:00+05:00,62,2,5.02,2.8,0.0,0.1419,0.5675,ok,
2026-02-05,2026-02-07T15:00:00+05:00,63,1,4.28,2.0,0.0031,0.116,0.3986,ok,
2026-02-05,2026-02-07T15:00:00+05:00,63,2,4.28,2.0,0.0073,0.1158,0.3997,ok,
2026-02-05,2026-02-07T16:00:00+05:00,64,1,3.37,0.9,0.01,0.0987,0.2997,ok,
2026-02-05,2026-02-07T16:00:00+05:00,64,2,3.37,0.9,0.01,0.0971,0.3003,ok,
2026-02-05,2026-02-07T17:00:00+05:00,65,1,1.52,-0.3,0.01,0.0268,0.189,ok,
2026-02-05,2026-02-07T17:00:00+05:00,65,2,1.52,-0.3,0.0087,0.0274,0.1898,ok,
2026-02-05,2026-02-07T18:00:00+05:00,66,1,4.43,0.0,0.0603,0.2161,0.5237,ok,
2026-02-05,2026-02-07T18:00:00+05:00,66,2,4.43,0.0,0.0352,0.2143,0.5237,ok,
2026-02-05,2026-02-07T19:00:00+05:00,67,1,7.1,-0.2,0.262,0.6679,0.944,low,
2026-02-05,2026-02-07T19:00:00+05:00,67,2,7.1,-0.2,0.2858,0.6693,0.9407,low,
2026-02-05,2026-02-07T20:00:00+05:00,68,1,7.22,-0.3,0.2372,0.7579,0.9842,low,
2026-02-05,2026-02-07T20:00:00+05:00,68,2,7.22,-0.3,0.2943,0.7606,0.9806,low,
2026-02-05,2026-02-07T21:00:00+05:00,69,1,7.49,-0.9,0.3007,0.7674,0.9865,low,
2026-02-05,2026-02-07T21:00:00+05:00,69,2,7.49,-0.9,0.3501,0.7697,0.9823,low,
2026-02-05,2026-02-07T22:00:00+05:00,70,1,8.92,-1.2,0.5266,0.9186,0.9892,ok,
2026-02-05,2026-02-07T22:00:00+05:00,70,2,8.92,-1.2,0.5402,0.9183,0.9797,ok,
2026-02-05,2026-02-07T23:00:00+05:00,71,1,9.49,-1.4,0.5426,0.9239,0.9899,ok,
2026-02-05,2026-02-07T23:00:00+05:00,71,2,9.49,-1.4,0.5365,0.9221,0.9808,ok,
